,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
345,gracac,HR,44.30,15.85,36.39,89,10,7.16,clear sky
346,olinda,BR,-8.01,-34.86,82.13,74,20,5.75,few clouds
347,ramhormoz,IR,31.28,49.60,52.07,79,0,6.51,clear sky
348,bud,US,39.45,-86.18,62.62,67,99,13.65,overcast clouds
349,cockburn town,TC,21.46,-71.14,75.22,76,3,20.36,clear sky
350,rawson,AR,-43.30,-65.10,79.16,36,42,3.02,scattered clouds
351,kilinochchi,LK,9.40,80.40,70.77,78,30,5.41,scattered clouds
352,charleville,AU,-26.40,146.25,78.87,73,94,0.0,overcast clouds
353,bilma,NE,18.69,12.92,58.78,20,0,6.55,clear sky
354,margate,GB,51.38,1.39,53.04,75,98,5.99,overcast clouds
355,altay,CN,47.87,88.12,12.13,80,100,3.62,overcast clouds
356,ugep,NG,5.81,8.08,76.57,33,12,4.81,few clouds
357,tongzi,CN,28.78,105.09,42.57,88,100,2.73,light rain
358,kasempa,ZM,-13.46,25.83,64.63,93,100,1.52,light rain
359,pitimbu,BR,-7.47,-34.81,81.19,70,28,8.9,scattered clouds
360,harper,LR,4.38,-7.72,79.45,79,49,6.22,scattered clouds
361,paita,PE,-5.09,-81.11,84.76,66,28,15.84,scattered clouds
362,airai,TL,-8.93,125.41,59.23,83,80,2.98,broken clouds
363,razdolnoye,RU,43.55,131.92,9.01,83,30,4.16,scattered clouds
364,ulety,RU,51.36,112.48,-13.56,99,71,3.11,broken clouds
365,ippy,CF,6.27,21.22,77.74,23,37,2.55,scattered clouds
366,port blair,IN,11.67,92.75,74.66,73,19,3.71,few clouds
367,faya,SA,18.39,42.45,55.72,66,13,4.88,few clouds
368,qaqortoq,GL,60.72,-46.03,19.9,95,20,3.09,few clouds
369,puerto escondido,MX,15.85,-97.07,85.12,56,1,15.17,clear sky
370,muros,ES,42.78,-9.06,55.09,67,0,10.27,clear sky
371,aksu,CN,41.12,80.26,22.71,52,0,0.47,clear sky
372,mbaiki,CF,3.87,17.99,71.89,24,33,1.19,scattered clouds
