City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
529,mosquera,CO,64.49,scattered clouds,4.71,-74.23,Hotel SJ
531,gigmoto,PH,76.82,overcast clouds,13.78,124.39,Cj's Travellers Inn
532,bowen,AU,79.16,overcast clouds,-20.02,148.23,Castle Motor Lodge Motel
534,murray bridge,AU,60.69,clear sky,-35.12,139.27,Balcony On Sixth Lodge
535,wad madani,SD,68.74,clear sky,14.4,33.52,فندق يوغسلافيا
538,kattivakkam,IN,76.06,moderate rain,13.22,80.32,Euronova Freezer
540,sinnamary,GF,77.97,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
544,sokoni,TZ,80.89,overcast clouds,-6.43,39.55,Ujamaa Beach Resort
548,las tunas,CU,80.73,overcast clouds,20.96,-76.95,Hotel Cadillac
556,virar,IN,71.69,clear sky,19.47,72.8,Go Firne
557,makakilo city,US,79.12,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
560,isangel,VU,79.38,overcast clouds,-19.55,169.27,Tanna Lodge
563,tuatapere,NZ,73.81,overcast clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
564,carlsbad,US,65.39,clear sky,33.16,-117.35,Carlsbad Inn Beach Resort
565,wattegama,LK,65.98,clear sky,6.8,81.48,
568,dunedin,NZ,65.28,overcast clouds,-45.87,170.5,Scenic Hotel Southern Cross
570,soe,ID,65.05,broken clouds,-9.86,124.28,Dena Hotel
572,ginir,ET,60.98,overcast clouds,7.13,40.7,Sura Dare Village
573,kavaratti,IN,79.95,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
575,beeville,US,75.97,clear sky,28.4,-97.75,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
576,colares,PT,60.89,clear sky,38.8,-9.45,Arribas Sintra Hotel
577,yungay,PE,63.61,overcast clouds,-9.14,-77.74,Hotel Rima Rima Yungay Peru
578,kaeo,NZ,74.32,overcast clouds,-35.1,173.78,Bushido Lodge
580,jaguey grande,CU,75.85,broken clouds,22.53,-81.13,El Ranchon
582,mayumba,GA,78.1,light rain,-3.43,10.66,LIKWALE LODGE
583,alyangula,AU,81.34,overcast clouds,-13.85,136.42,Groote Eylandt Lodge
585,letlhakane,BW,73.92,broken clouds,-21.42,25.58,Motswedi Hotel
586,manggar,ID,76.75,broken clouds,-2.88,108.27,Guest Hotel
589,jibuti,DJ,72.82,broken clouds,11.5,42.5,Orchid Main Camp Goubet
591,trincomalee,LK,77.11,clear sky,8.57,81.23,Welcombe Hotel
592,picton,AU,69.84,light rain,-34.18,150.6,Picton Valley Motel
598,sur,OM,72.45,clear sky,22.57,59.53,Sur Plaza Hotel
599,tocopilla,CL,70.63,few clouds,-22.09,-70.2,Hotel Galvarino
600,houma,US,69.01,overcast clouds,29.6,-90.72,Courtyard by Marriott Houma
602,saurimo,AO,65.35,overcast clouds,-9.66,20.39,Hotel Kawissa Saurimo
603,areado,BR,69.6,overcast clouds,-21.36,-46.15,Hotel do Sol
604,hamilton,US,60.75,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
610,phangnga,TH,75.24,scattered clouds,8.45,98.53,Sunimit Mansion
611,omboue,GA,78.31,moderate rain,-1.57,9.26,Hotel Olako
612,todos santos,MX,76.1,clear sky,23.45,-110.22,Hotel California Todos Santos
616,raga,SS,70.77,few clouds,8.46,25.68,
619,del rio,US,77.11,clear sky,29.36,-100.9,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
625,davila,PH,73.58,few clouds,18.47,120.58,Blue Ridge Beach Resort
626,mpanda,TZ,63.48,overcast clouds,-6.37,31.04,CH Hotel - Mpanda
628,najran,SA,64.87,clear sky,17.49,44.13,محمد هادي ال فطيح
629,hidalgo,MX,76.05,clear sky,20.5,-99.0,
631,jacareacanga,BR,79.59,overcast clouds,-6.22,-57.75,Casa do Ian😎
632,businga,CD,78.62,broken clouds,3.33,20.88,
635,ibra,OM,69.44,clear sky,22.69,58.53,مزرعة راحة النفوس المنزفة
636,beloha,MG,73.26,clear sky,-25.17,45.05,
640,vaitape,PF,80.51,light rain,-16.52,-151.75,Conrad Bora Bora Nui
641,lichinga,MZ,61.27,clear sky,-13.31,35.24,Residencial Bendiak
644,sembakung,ID,72.09,overcast clouds,3.82,117.25,
647,kailua,US,80.15,clear sky,21.4,-157.74,Sheffield House Bed & Breakfast
648,ban nahin,LA,60.94,overcast clouds,18.24,104.21,
651,caranavi,BO,66.63,overcast clouds,-15.82,-67.55,Hotel LANDIVAR
657,saint pete beach,US,75.25,clear sky,27.73,-82.74,TradeWinds Island Grand Resort
660,esperanza,DO,77.58,scattered clouds,19.58,-70.98,Cabañas Bernard - Alojamientos Turísticos
662,lima,PE,76.14,overcast clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
663,dilla,ET,66.13,overcast clouds,6.41,38.31,Afomiya Pension
665,taree,AU,77.11,light rain,-31.9,152.47,All Seasons Country Lodge Taree
668,trairi,BR,80.42,overcast clouds,-3.28,-39.27,janelas do mar
669,manono,CD,69.42,overcast clouds,-7.3,27.42,Hotel hewa bora
670,lorengau,PG,78.57,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
673,kalabo,ZM,65.12,broken clouds,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
674,benguela,AO,75.61,broken clouds,-12.58,13.41,Hotel Praia Morena
676,kiunga,PG,71.31,overcast clouds,-6.12,141.29,Airport Lodge Kiunga
678,wanning,CN,68.13,overcast clouds,18.8,110.4,Paradise Hotel
679,sao jose da coroa grande,BR,80.58,scattered clouds,-8.9,-35.15,Crôa Mares Hotel
681,zachary,US,63.93,moderate rain,30.65,-91.16,"Holiday Inn Express & Suites Baton Rouge North, an IHG Hotel"
682,kismayo,SO,78.55,overcast clouds,-0.36,42.55,Agan-Hotel
687,eyl,SO,75.6,overcast clouds,7.98,49.82,DAAWAD HOTEL EYL
690,maragogi,BR,80.15,scattered clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
691,monrovia,LR,79.79,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
