City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Kendari,ID,-3.945,122.4989,88.99,59,96,6.4
244,Borger,NL,52.9233,6.7931,42.78,92,99,22.59
245,Tura,IN,25.5198,90.2201,67.5,36,1,4.0
246,Benguela,AO,-12.5763,13.4055,74.3,84,100,1.83
247,Banjarmasin,ID,-3.3244,114.591,89.74,50,100,2.8
248,Nyurba,RU,63.2842,118.3319,-10.88,96,69,4.12
249,Vrangel,RU,42.7297,133.0839,21.49,42,4,10.89
250,Upington,ZA,-28.4478,21.2561,73.78,78,75,1.14
251,Vao,NC,-22.6667,167.4833,79.63,79,65,3.8
252,Balykshi,KZ,47.0667,51.8667,19.4,100,100,6.71
253,Bredasdorp,ZA,-34.5322,20.0403,72.28,83,100,8.05
254,Flinders,AU,-34.5833,150.8552,86.2,71,30,8.19
255,Salalah,OM,17.0151,54.0924,68.09,52,0,4.61
256,Puerto Narino,CO,-3.7703,-70.3831,75.15,79,100,2.3
257,Iquique,CL,-20.2208,-70.1431,66.24,69,0,3.15
258,Ziro,IN,27.6333,93.8333,41.74,37,8,1.95
259,Pisco,PE,-13.7,-76.2167,69.85,83,40,8.05
260,Smithers,CA,54.7804,-127.1743,26.92,100,100,0.0
261,Alofi,NU,-19.0595,-169.9187,75.07,83,100,11.54
262,Urusha,RU,54.05,122.9,7.21,59,88,6.29
263,Creston,US,41.0586,-94.3614,29.05,100,75,6.91
264,Khotynets,RU,53.1286,35.3966,28.36,94,100,12.35
265,Kraskovo,RU,55.6497,37.9878,27.34,96,75,11.18
266,Esperance,AU,-33.8667,121.9,73.24,71,77,22.12
267,Progreso,MX,21.2833,-89.6667,64.51,72,0,9.62
268,Lyubech,UA,51.7026,30.6569,28.51,96,100,13.62
269,Arraial Do Cabo,BR,-22.9661,-42.0278,74.59,96,100,7.76
270,Berlevag,NO,70.8578,29.0864,28.4,64,90,2.17
271,Moshenskoye,RU,58.5102,34.5911,21.88,95,100,7.23
272,Richards Bay,ZA,-28.783,32.0377,74.19,82,96,7.58
273,Kalachinsk,RU,55.0529,74.5751,2.08,96,72,8.28
274,Gao,ML,16.6362,1.637,63.05,19,13,14.54
275,Banff,CA,51.1762,-115.5698,38.43,93,100,6.91
276,Chernyshevskiy,RU,63.0128,112.4714,-6.59,94,93,2.82
277,Gallup,US,35.5281,-108.7426,32.02,62,0,1.99
278,Saint-Pierre,RE,-21.3393,55.4781,83.84,83,75,10.36
279,Svencionys,LT,55.15,26.1667,25.47,94,100,12.97
280,Vardo,NO,70.3705,31.1107,21.4,70,58,17.72
281,Dumraon,IN,25.55,84.15,66.4,49,0,2.86
282,Bonfim,BR,3.0833,-59.95,76.77,67,69,3.74
283,Fort Nelson,CA,58.8053,-122.7002,-2.61,71,100,10.36
284,Levelland,US,33.5873,-102.378,52.95,51,100,4.05
285,Hobyo,SO,5.3505,48.5268,77.72,77,100,17.22
286,Hami,CN,42.8,93.45,27.54,32,91,5.03
287,Abu Dhabi,AE,24.4667,54.3667,66.96,84,0,6.91
288,Shache,CN,38.4167,77.2406,32.59,32,100,3.42
289,Cabedelo,BR,-6.9811,-34.8339,79.47,75,34,12.8
290,Lagoa,PT,39.05,-27.9833,58.37,72,31,25.95
291,Caravelas,BR,-17.7125,-39.2481,77.36,87,64,8.66
292,Siniscola,IT,40.5719,9.6922,36.95,87,10,6.46
293,Mezen,RU,65.8522,44.24,6.64,97,100,3.87
294,Te Anau,NZ,-45.4167,167.7167,72.16,68,98,2.95
295,Rebrikha,RU,53.0733,82.3408,16.11,90,82,9.62
296,Bambous Virieux,MU,-20.3428,57.7575,83.21,89,75,12.66
297,Castrillon,ES,43.3979,-6.7922,43.34,94,81,2.3
298,Guayaramerin,BO,-10.8368,-65.3614,71.71,99,100,1.9
299,Shamgarh,IN,24.1833,75.6333,69.66,30,0,6.11
300,Hauterive,FR,46.0901,3.4459,42.03,93,55,4.56
301,Thunder Bay,CA,48.4001,-89.3168,11.55,80,100,4.61
302,Hinton,CA,53.4001,-117.5857,33.1,96,100,3.53
303,Chernyshevsk,RU,52.5243,117.0174,-6.23,89,14,3.69
